Timeline Trace
Generated on: 2022-04-29 22:32:35
Msec since Epoch: 1651264355882
Profiled application: host
Target platform: Xilinx
Tool version: 2020.2
XRT build version: 2.9.317
Build version branch: 2020.2_PU1
Build version hash: b0230e59e22351fb957dc46a6e68d7560e5f630c
Build version date: N/A 


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
23.341266,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,0,
23.372474,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,1,
23.392388,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,1,
23.401228,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,0,
23.412176,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,2,
23.420099,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,3,
23.427883,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,3,
23.434619,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,2,
23.442428,clGetPlatformInfo|General,START,,,,,,,,,,,4,
23.451916,clGetPlatformInfo|General,END,,,,,,,,,,,4,
23.458859,clGetPlatformInfo|General,START,,,,,,,,,,,5,
23.474731,clGetPlatformInfo|General,END,,,,,,,,,,,5,
23.477282,clGetPlatformInfo|General,START,,,,,,,,,,,6,
23.479403,clGetPlatformInfo|General,END,,,,,,,,,,,6,
23.4814,clGetPlatformInfo|General,START,,,,,,,,,,,7,
23.483486,clGetPlatformInfo|General,END,,,,,,,,,,,7,
23.495088,clGetPlatformInfo|General,START,,,,,,,,,,,8,
23.497433,clGetPlatformInfo|General,END,,,,,,,,,,,8,
23.499935,clGetPlatformInfo|General,START,,,,,,,,,,,9,
23.501943,clGetPlatformInfo|General,END,,,,,,,,,,,9,
23.518266,clGetDeviceIDs|General,START,,,,,,,,,,,10,
23.524442,clGetDeviceIDs|General,END,,,,,,,,,,,10,
23.527673,clGetDeviceIDs|General,START,,,,,,,,,,,11,
23.529993,clGetDeviceIDs|General,END,,,,,,,,,,,11,
23.533019,clRetainDevice|General,START,,,,,,,,,,,12,
23.535545,clRetainDevice|General,END,,,,,,,,,,,12,
23.538204,clRetainDevice|General,START,,,,,,,,,,,13,
23.540308,clRetainDevice|General,END,,,,,,,,,,,13,
23.542532,clCreateContext|General,START,,,,,,,,,,,14,
36.521228,clCreateContext|General,END,,,,,,,,,,,14,
36.532483,clCreateCommandQueue|General,START,,,,,,,,,,,15,
36.539876,clCreateCommandQueue|General,END,,,,,,,,,,,15,
66.278588,clCreateProgramWithBinary|General,START,,,,,,,,,,,16,
107.070059,clCreateProgramWithBinary|General,END,,,,,,,,,,,16,
107.089578,clCreateKernel|General,START,,,,,,,,,,,17,
107.978661,clCreateKernel|General,END,,,,,,,,,,,17,
108.002699,clCreateBuffer|General,START,,,,,,,,,,,18,
108.536734,clCreateBuffer|General,END,,,,,,,,,,,18,
108.546038,clCreateBuffer|General,START,,,,,,,,,,,19,
109.046318,clCreateBuffer|General,END,,,,,,,,,,,19,
109.053433,clCreateBuffer|General,START,,,,,,,,,,,20,
110.520258,clCreateBuffer|General,END,,,,,,,,,,,20,
110.525974,clCreateBuffer|General,START,,,,,,,,,,,21,
110.771844,clCreateBuffer|General,END,,,,,,,,,,,21,
110.775014,clCreateBuffer|General,START,,,,,,,,,,,22,
110.997819,clCreateBuffer|General,END,,,,,,,,,,,22,
111.001855,clSetKernelArg|General,START,,,,,,,,,,,23,
111.007409,clSetKernelArg|General,END,,,,,,,,,,,23,
